190,52,341,264
190,52,341,264
190,53,341,265
190,52,341,264
190,51,341,263
190,50,341,262
189,49,340,261
188,50,339,262
187,50,338,262
187,49,338,261
185,50,336,262
185,52,336,264
186,50,337,262
184,50,335,262
185,50,336,262
183,49,334,261
182,49,333,261
181,47,332,259
179,44,330,256
179,42,330,254
177,42,328,254
175,42,326,254
174,42,325,254
174,41,325,253
174,39,325,251
176,39,327,251
176,41,327,253
177,44,328,256
181,45,332,257
184,47,335,259
185,50,336,262
188,48,339,260
190,44,341,256
195,46,346,258
204,44,355,256
210,46,361,258
216,40,367,252
221,34,372,246
228,36,379,248
235,38,386,250
239,32,390,244
246,30,397,242
252,22,403,234
260,20,411,232
263,21,414,233
265,22,416,234
267,25,418,237
269,28,420,240
278,35,429,247
286,27,437,239
293,35,444,247
298,43,449,255
305,56,456,268
312,64,463,276
320,71,471,283
319,76,470,288
320,78,471,290
322,78,473,290
324,77,475,289
321,76,472,288
323,75,474,287
326,75,477,287
329,72,480,284
329,74,480,286
328,77,479,289
329,76,480,288
331,78,482,290
332,79,483,291
331,79,482,291
333,79,484,291
330,81,481,293
328,79,479,291
329,79,480,291
327,81,478,293
325,81,476,293
325,79,476,291
324,78,475,290
325,81,476,293
332,85,483,297
332,86,483,298
334,87,485,299
332,87,483,299
332,86,483,298
332,87,483,299
331,87,482,299
331,86,482,298
330,86,481,298
329,86,480,298
328,86,479,298
327,87,478,299
326,88,477,300
327,88,478,300
328,88,479,300
327,89,478,301
328,89,479,301
327,88,478,300
328,89,479,301
330,89,481,301
328,90,479,302
328,91,479,303
327,91,478,303
329,91,480,303
328,92,479,304
328,93,479,305
328,94,479,306
327,94,478,306
328,93,479,305
329,94,480,306
329,94,480,306
329,93,480,305
328,93,479,305
328,93,479,305
328,93,479,305
327,93,478,305
327,93,478,305
326,93,477,305
326,92,477,304
326,91,477,303
326,91,477,303
326,91,477,303
325,91,476,303
325,91,476,303
324,90,475,302
324,90,475,302
